voltage_oc,power_mpp,duty_mpp
13.7984,0.14044,26.0
13.9062,0.166,45.0
8.1389,0.26295,40.0
8.0311,0.23819,42.0
8.3006,0.24525,42.0
8.2467,0.1999,30.0
8.3545,0.23689,39.0
8.1928,0.23377,41.0
7.9772,0.22111,43.0
7.9233,0.21164,39.0
7.3304,0.1827,41.0
7.4921,0.18208,39.0
15.3076,0.62528,33.0
14.8764,0.29401,33.0
16.0622,0.92176,39.0
15.3615,0.63493,44.0
15.092,0.6156,37.0
14.8225,0.38324,32.0
15.5771,0.75419,42.0
15.7388,0.70154,43.0
16.0083,0.80346,43.0
14.8764,0.38678,36.0
15.3076,0.34929,30.0
14.9842,0.28183,31.0
13.0438,0.10483,30.0
12.9899,0.09753,26.0
13.6367,0.13792,41.0
13.5289,0.14141,40.0
14.2296,0.20181,32.0
15.1998,0.3721,33.0
14.3374,0.18532,45.0
14.2835,0.20931,33.0
9.163,0.30252,46.0
14.9303,0.25974,31.0
15.2537,0.3309,32.0
14.6608,0.20417,33.0
15.092,0.32508,34.0
15.2537,0.35853,35.0
15.1998,0.35659,32.0
15.1459,0.32092,36.0
14.2835,0.18693,29.0
15.092,0.33502,36.0
14.9842,0.32463,32.0
7.2765,0.18389,38.0
6.7914,0.15188,40.0
6.7375,0.14575,36.0
6.7914,0.1553,36.0
8.3545,0.24961,43.0
10.5644,0.41697,45.0
9.2169,0.30635,45.0
9.8637,0.38207,47.0
9.5403,0.32484,47.0
9.0013,0.28441,40.0
9.9715,0.36881,45.0
6.1985,0.00434,35.0
6.2524,0.00459,36.0
6.1446,0.00406,31.0
6.2524,0.00459,33.0
6.0907,9e-05,56.0
5.929,9e-05,57.0
5.6056,9e-05,55.0
5.2283,9e-05,55.0
4.7971,9e-05,2.0
4.3659,9e-05,4.0
12.6665,0.09525,42.0
9.7559,0.02432,38.0
10.3488,0.03579,41.0
9.4864,0.01938,37.0
7.9772,0.01081,38.0
7.3304,0.00743,36.0
8.4084,0.01407,33.0
8.4623,0.01319,42.0
7.5999,0.01025,37.0
6.9531,0.00641,36.0
8.6779,0.0144,39.0
8.5701,0.01294,35.0
8.624,0.01278,30.0
8.4084,0.01162,35.0
8.3006,0.01354,34.0
8.1928,0.0122,38.0
8.3006,0.01285,39.0
8.4623,0.01581,35.0
8.7857,0.01451,26.0
9.163,0.02233,38.0
16.9246,0.99959,44.0
17.0324,1.12832,42.0
15.9544,0.42602,36.0
15.631,0.33637,26.0
14.4452,0.20844,31.0
14.2835,0.18159,43.0
14.3913,0.1666,24.0
13.5828,0.11496,26.0
12.936,0.09079,32.0
12.397,0.06767,31.0
